mouse1c	mouse1i	mouse1j
41.7985	51.9749	12.1744
32.5443	54.1767	17.432
25.5437	40.7763	14.2156
48.5052	26.8285	38.9956
42.8568	29.5577	27.204
40.7811	31.8734	18.8469
43.5261	25.7656	28.1411
31.4258	30.6762	21.0898
32.8233	20.6236	15.2207
22.4284	40.4431	18.9187
35.3578	52.0396	11.3263
20.8375	56.0231	28.6953
26.0313	48.1083	31.1781
39.8226	51.954	25.7915
48.3142	37.3855	27.4632
29.7033	35.0235	22.583
47.5827	39.7106	33.2628
49.3226	68.9242	23.8324
22.919	36.6784	21.3505
25.2379	30.4604	17.2451
19.8758	58.1877	10.2547
27.762	29.9516	20.3752
42.9456	20.4122	20.5831
29.5613	38.7228	18.4687
21.4987	43.4014	20.3906
21.0093	38.7839	20.38
40.9982	41.7476	20.73
37.118	43.9433	19.1167
52.2611	39.1883	30.2394
24.6539	40.6265	26.2204
38.5475	22.3356	19.6693
50.8027	40.134	15.697
29.4466	21.7851	22.1148
33.5131	27.817	28.4847
45.1856	25.5697	26.0477
35.7585	38.1522	31.7731
41.6699	33.944	30.2893
38.7172	31.6922	28.8
26.4335	33.3792	22.2882
43.3355	17.0682	28.0193
51.1394	67.9278	19.9995
27.0813	36.9156	21.4322
48.6984	39.1758	24.7962
25.8223	37.1381	11.6819
37.0786	37.3782	24.8854
23.3925	25.9011	38.0728
28.1745	36.7762	25.4276
34.1395	36.8317	17.7101
41.6277	19.0777	41.9959
55.2963	42.1891	32.7397
26.7745	33.3285	33.6488
20.4166	25.8293	35.4426
41.193	36.3019	17.1004
34.2575	40.5289	43.3641
44.4636	41.2615	30.9915
46.6825	34.2533	52.6426
50.2436	28.4589	43.259
71.7877	31.2574	29.6869
29.9965	42.9968	11.6229
38.6104	47.7851	21.0348
25.948	39.0747	54.4029
21.4158	49.2701	9.6018
20.556	17.2316	30.5848
26.2959	12.7686	43.2606
34.9573	40.4206	39.4992
29.7625	38.8435	38.599
59.9139	30.6256	33.8514
44.595	11.992	28.1899
34.3413	31.1507	23.5153
24.7964	13.5416	23.2211
69.2869	49.9761	14.9615
27.0479	33.6551	18.6217
30.7235	34.4568	25.6107
45.8415	35.613	22.4911
39.2639	27.3715	22.6813
14.8709	26.7165	20.8907
32.3959		20.2378
36.6845		21.5428
31.025		21.1165
33.4551		27.5125
20.4823		13.9346
40.2498		25.5915
45.6145		18.2225
21.3224		19.5257
46.8517		27.9808
18.3128		20.746
21.3127		17.0175
19.1316		16.6534
21.1833		17.7566
17.9764		22.6256
19.0861		23.3809
41.7924		26.3494
61.3876		
24.9332		
38.6161		
20.3957		
17.2097		
18.2225		
17.6777		
23.1625		
21.1845		
31.5139		
23.2312		
15.9707		
21.2968		
25.1033		
21.6937		
33.3761		
34.6369		
17.2904		
32.1173		
16.9321		
16.8763		
23.212		
24.3074		
22.1325		
13.5707		
11.8661		
17.6494		
36.0484		
10.2576		
24.367		
15.2727		
34.104		
20.4303		
32.9423		
17.3126		
22.5163		
43.7357		
23.1371		
24.6112		
21.7249		
18.0103		
32.799		
32.6683		
40.2825		
32.6737		
33.1838		
27.2884		

