mouse6c	mouse6d	mouse1k
152.5697	152.6812	133.5531
103.2168	143.1679	159.2404
166.7675	145.0894	170.7067
157.0008	159.4551	190.0069
168.9542	164.7198	186.3713
160.0003	134.2639	173.8912
127.9082	90.7038	182.8378
157.3118	166.3401	172.5194
156.337	166.4923	154.0517
162.8883	149.637	171.0151
98.8224	169.7447	143.0901
166.8747	134.0653	181.1535
155.5654	164.5742	116.2157
156.3182	154.8373	159.8306
163.2995	148.3673	141.6423
164.9575	142.0724	145.6915
172.5019	155.0587	155.0814
172.2152	135.21	167.8056
168.9801	146.6765	151.183
158.887	160.1779	148.152
167.3937	154.2331	141.2
159.4293	116.9752	154.8767
166.3009	152.7277	158.4767
172.013	134.3209	166.6414
178.9308	155.4765	132.5907
155.7219	165.1799	154.3925
170.3995	152.2209	161.2447
160.1175	157.6654	151.9938
148.8653	174.7935	136.2843
160.2349	162.886	151.573
170.6659	167.8431	127.3338
162.7084	145.9677	137.9154
163.6909	158.588	151.274
154.7669	148.802	163.2916
174.537	151.7857	154.367
161.8006	150.3572	144.697
158.2901	162.863	148.1749
165.1957	142.1851	129.9131
160.1474	125.0142	163.0274
131.8233	142.737	149.2469
149.6691	154.329	145.8492
162.6181	143.5601	148.4682
164.4599	151.8787	133.5889
173.4261	133.052	136.9736
152.9229	141.037	141.8789
110.19	135.2829	152.4766
164.9188	124.4206	125.64
142.2789	150.7721	154.0949
158.249	148.3898	130.8541
136.6281	131.4148	145.9146
172.3437	149.7506	161.6124
163.5502	108.4689	144.0707
168.2956	140.6929	143.3619
160.831	131.8812	157.5815
158.3257	141.2416	165.0946
135.7549	140.9844	142.8801
153.0232	133.3357	134.887
156.2281	136.9172	169.5066
141.8479	142.0972	171.0255
176.1234	151.449	144.5276
159.3255	145.7687	160.1105
159.8876	142.3297	149.2026
161.0597	130.2155	151.5373
157.8777	149.8964	141.3054
131.5492	114.3807	129.3112
122.6643	113.3513	130.0978
154.5964	148.8795	162.6265
153.6742	143.0176	137.9916
166.1262	113.0712	159.4648
