mouse1d	mouse1e	mouse1f
3.7052	7.4902	
0.9222	6.702	
0.9022	2.5111	
0.5831	6.5173	
0.9996	3.1054	
0.7557	1.4911	
1.0843	4.7856	
1.1569	5.7156	
2.1196	0.3985	
0.8765	1.5702	
1.6664	0.4822	
6.1319	1.1979	
0.8595	0.6157	
2.4672	0.02941	
0.7128	1.5943	
1.1689	3.1033	
1.5181	1.7906	
5.3026	1.2467	
0.7289	3.1917	
2.9782	2.9432	
2.1799	1.0552	
1.7473	1.0222	
1.7593	1.4285	
1.3659	1.7004	
0.1726	3.7114	
3.4916	0.9876	
1.6303	2.0336	
0.2003	1.6596	
0.8926	1.6739	
0.9834	1.7168	
0.9274	1.252	
1.4293	1.8062	
2.8407	3.7599	
0.8425	1.5289	
1.5193	1.48	
0.7717	1.5598	
1.487	1.6895	
1.1687	2.3207	
1.6389	1.054	
1.6197	0.4786	
2.4694	8.0917	
0.8881	1.8506	
1.147	3.0396	
0.8886	1.2526	
1.4134	8.2723	
2.1413	3.1711	
0.7039	2.1171	
1.9137	6.181	
1.9697	2.7298	
1.1394	2.063	
1.0582	3.9952	
1.6656	4.351	
2.7056	5.4939	
1.2801	3.4643	
2.2447	5.5096	
5.133	6.0628	
1.1651	1.4267	
1.2498	9.1936	
0.7489	1.7459	
1.7443	2.0263	
0.7209	5.458	
0.3296	3.2181	
3.7066	1.9696	
0.7632	2.3127	
8.1128	6.8516	
1.2287	1.7649	
1.7396	6.6128	
1.1711	3.5154	
1.7624	5.0765	
1.5031	2.3199	
1.041	6.6308	
0.5981	2.2651	
2.235	7.0183	
7.759	2.1709	
2.1049	5.1583	
0.8247	2.0369	
1.0952	5.7289	
0.658	10.3939	
1.2844	3.5369	
1.3848	6.1215	
3.0114	0.3989	
0.5262	8.1238	
0.3895	1.8013	
2.6328	5.6484	
0.6367	6.2731	
0.3373	9.9903	
1.7733	2.989	
1.8375	5.7953	
2.8428	0.64	
1.4256	11.6581	
2.7184	1.9991	
0.7084	6.3327	
1.2821	4.9662	
2.5237	1.1861	
2.1022	1.3212	
1.5256	2.395	
1.1886	4.2245	
2.4032	6.0293	
2.8047	2.3609	
0.3307	6.2493	
1.6124	4.5942	
1.1401	7.4952	
3.866	10.8863	
1.0994	2.7816	
2.9175	9.5591	
1.1265	8.4765	
3.1508	9.6036	
2.2381	7.8444	
1.3279	6.4702	
2.0658	6.2991	
2.2328	8.1044	
1.6503	8.0065	
1.1371	1.2227	
1.803	1.512	
1.5902	8.7532	
1.0615	1.6847	
1.6914	6.4798	
1.4308	1.3508	
2.2165	1.5644	
0.3909	6.7507	
1.6935	5.3508	
1.086	1.2914	
1.7188	6.7866	
0.9171	2.0308	
2.1911	8.4831	
2.6095	9.5366	
1.0988	6.9055	
1.9454	11.4711	
0.2654	9.4882	
1.8671	1.2666	
2.6822	7.1551	
1.9826	5.6777	
1.59	3.5497	
1.7276	6.1454	
0.9078	0.4421	
0.6048	6.2912	
2.3456	7.5775	
3.2964	4.9787	
2.2614	3.1827	
0.6066	13.5791	
0.6959	1.8277	
0.4578	7.4725	
2.0024	1.0453	
1.1065	11.1549	
2.9898	7.9469	
0.2583	5.245	
1.6306	7.9327	
1.332	1.0642	
1.4357	6.1473	
1.9559	7.9281	
3.2086	1.6532	
0.5226	11.5325	
2.5722	0.7189	
2.2042	2.792	
2.8947	10.2107	
1.5305	12.0498	
0.7003	11.3919	
1.7291	1.7081	
1.1628	6.231	
0.1975	1.009	
0.7443	11.1551	
1.0488	1.673	
2.7049	0.79	
1.7698	11.6671	
0.3652	6.5534	
0.9225	3.3459	
0.7499	5.7166	
0.867	9.1802	
4.279	3.7707	
0.4531	6.4802	
0.996	11.2889	
1.4005	1.1859	
1.3847	2.1083	
1.2673	2.3518	
1.8497	1.1268	
0.1932	2.0371	
0.7395	0.909	
1.9017	12.7529	
1.0012	7.1225	
1.4215	1.0378	
1.0725	10.9778	
1.8847	1.3301	
1.8085	1.3549	
1.8513	1.9799	
0.9754	0.5592	
1.6351	1.4187	
3.3888	6.7362	
0.2528	1.873	
3.6563	2.3822	
