eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
1.1377	0.932	1.4444	15.5475	16.4022	1.8086	1.2729	3.9473	624.8750815	1442.928325	1218.997229	1505.276325	9.2361	5.4764	30.1428	2.2543
0.7557	1.5336	11.7256	9.1729	19.0078	0.9651	5.0849	1.76	585.1827957	1093.185712	820.2324439	2459.38483	16.7656	4.0066	33.0965	7.3942
0.8114	0.8636	8.8495	8.9571	14.2551	1.6757	2.2544	3.6876	318.4882747	3027.020529	1165.7618	3019.047619	11.051	3.3391	30.1281	4.6492
4.0941	0.3363	6.855	8.8854	15.0769	2.7869	1.3058	5.5236	614.4922426	2254.697466	1825.958779	1306.844516	20.7708	2.5698	29.5375	3.6617
0.5087	0.256	7.8378	15.7694	8.9593	1.5822	2.7862	4.4526	349.1828202	885.4019509	1034.045662	4149.856276	10.1343	3.7656	20.9041	2.8754
1.6748	0.5459	18.1877	20.9454	5.2318	2.7242	3.3294	4.6756	593.0472309	2595.700896	1553.056235	2119.593346	15.2199	0.9095	29.602	2.8926
0.2379	0.08599	4.9239	9.7254	6.2049	1.0704	1.6473	3.325	424.6198407	2646.830065	1624.49071	748.1750311	11.558	2.5006	29.917	2.2009
2.7345	0.4043	5.0595	17.0352	14.5915	1.104	2.7639	2.074	450.6342684	5677.064414	2658.022754	768.3658171	22.1838	2.7718	22.7841	7.2372
0.9659	0.2798	6.5257	13.7134	23.103	2.8526	2.781	4.2546	371.6879187	3546.689478	2680.166031	2093.650379	24.7493	2.6268	26.79	2.3525
1.4869	0.6056	7.2038	11.026	12.8138	1.3898	4.6462	2.3764	700.0621214	5646.405413	2524.6337	1983.347398	11.73	2.6549	32.2493	2.2776
1.6487	0.3034	9.8941	9.9226	16.224	3.2611	3.0918	3.926	1928.332884	6089.988645	3376.885435	2173.40472	28.187	7.0599	30.171	2.2078
0.6272	0.7146	5.5712	14.2776	11.9525	0.407	0.2355	2.4607	751.6117479	4942.765685	980.8477237	1757.949173	8.5835	5.3301	25.8872	4.4029
0.2505	0.9131	12.5151	9.4105	17.1999	1.2649	1.6951	1.8234	502.2970562	2863.186583	2249.351105	2076.533333	11.9045	2.0564	21.1732	6.241
0.3354	0.9598	5.8017	17.147	14.204	2.5856	7.4666	2.4359	603.515625	1562.420551	1068.44324	1919.860627	7.3385	3.2313	31.0629	2.2664
2.9103	1.2204	12.6476	9.6734	6.6805	0.9544	3.5119	5.2049	322.0071415	3077.774616	4641.260841	2445.961467	11.7182	0.9711	26.8151	5.0427
0.8607	2.8291	13.9816	10.9654	20.0375	1.1594	4.8292	7.4613	268.6889674	1889.611207	4168.089316	6952.43129	13.6382	2.8193	28.5635	2.9626
0.878	0.6113	5.1672	18.688	13.7503	4.8906	2.6888	3.5355	508.254469	5107.050441	926.5310839	3766.182205	13.6517	1.156	24.7637	4.8668
2.7604	0.6197	3.9931	8.0458	35.0671	4.836	4.889	2.5969	1794.620612	2954.154519	935.8510414	4524.764409	14.8274	2.9918	28.285	2.2562
0.07015	0.4949	5.0709	13.2647	23.0775	0.5376	0.8533	9.384	370.2290076	3271.49938	677.4355541	2291.852956	9.247	1.0251	28.9608	2.3038
0.2702	1.8681	9.3	11.3693	11.4283	0.5585	1.2257	2.2542	520.3570963	2643.225191	2176.946632	5455.608768	9.102	3.0431	27.7092	3.5526
0.7471	0.4015	7.9472	8.3919	11.5368	1.1303	2.7311	2.6786	1098.583517	2222.733548	1794.654928	7066.515642	9.9893	2.9533	28.2758	2.5454
0.4455	0.931	5.8836	9.9355	11.0211	2.8593	4.7992	2.4605	449.2799609	1219.747358	3146.170839	3457.864476	8.4731	4.5951	24.3198	2.1081
0.2409	1.0497	9.6599	8.5495	14.3709	1.9434	4.1616	2.3067	1107.452725	1381.047892	3403.07971	2609.905495	6.8049	4.1982	27.5626	3.9842
1.2933	0.7947	6.4011	13.3358	18.7653	1.5754	2.1396	4.9698	1116.313163	4121.613721	1129.952941	2242.324561	14.1216	1.785	30.7863	2.4739
1.3237	0.3169	4.9611	17.6474	9.1388	3.4348	2.0893	4.3295	1779.425604	5014.251554	703.1907514	1577.581358	8.7918	2.0589	31.7966	2.5338
2.0617	2.1389	8.5893	5.7919	9.385	4.3669	2.9362	3.7022	391.3454271	3004.969291	1116.77654	1431.40625	11.6514	1.2741	20.9001	4.3851
0.6482	0.3463	5.2124	8.6671	9.8742	0.5359	0.9167	8.0427	574.9935683	1163.892807	801.7617866	2843.243243	8.9353	3.7786	25.6986	3.229
0.8652	0.8825	4.32	5.4344	41.0796	0.4254	4.1686	2.3514	2131.94942	961.9948685	2997.831835	2209.286262	9.2179	2.1916	28.4149	1.8358
0.8985	0.8956	2.274	8.4274	7.9627	0.6967	1.8767	1.6296	5125.238745	4298.655785	2899.314129	2068.883284	66.6787	1.8959	29.0931	1.525
2.9838	0.4952	8.9077	9.0016	11.9179	4.2197	3.2987	3.2916	2478.681931	508.7044081	1499.913644	1536.136579	29.9419	1.9925	26.8017	1.2618
0.6347	0.9631	13.5125	4.9634	8.9007	3.6203	0.1417	4.3404	1390.857821	1497.246434	1302.280213	1430.725984	65.8191	0.8463	25.6661	3.3363
0.5956	2.1574	5.2424	10.631	10.959	1.4269	2.4181	5.8855	1578.033473	1722.970195	1278.805823	1935.703876	38.6276	0.3805	27.0406	1.507
1.025	0.5724	6.1715	10.1063	7.9942	0.4704	2.0969	2.6861	1299.256506	594.9317739	2186.608159	2030.429498	45.6171	1.8201	28.4588	4.6366
1.8339	0.5588	4.7375	19.4687	3.7578	1.4367	2.1182	3.0057	769.7524988	2573.335765	2455.675287	5416.842105	35.497	1.0601	27.7924	2.4067
2.6908	0.1832	6.491	10.2117	2.5938	1.4809	3.2635	4.1289	2948.983497	1550.291988	2542.044335	5263.67401	36.8165	0.2757	25.6036	3.3342
0.4839	0.2547	6.3976	6.966	2.3458	1.2975	2.9901	2.8272	1980.177032	667.0983319	2430.087789	1513.71485	56.6605	2.1484	26.8546	3.4953
1.4402	0.7089	4.9154	5.0733	1.7531	0.4977	2.6857	4.4837	1132.413793	1171.796191	3985.354142	2560.077964	43.7002	1.1045	25.4822	2.0909
0.7348	0.8109	9.4464	14.5522	0.5987	3.1193	2.9473	4.629	4285.645409	5106.626506	2229.747019	1805.135484	32.8957	1.4486	25.7106	4.7864
